instance,algorithm,seed,threshold_pct,fe_to_threshold
d198,SA,25,5,774000
d198,SA,26,15,645000
d198,SA,26,10,679000
d198,SA,26,5,731000
d198,SA,27,15,648000
d198,SA,27,10,676000
d198,SA,27,5,745000
d198,SA,28,15,640000
d198,SA,28,10,652000
d198,SA,28,5,755000
d198,SA,29,15,632000
d198,SA,29,10,646000
d198,SA,29,5,711000
